loan_word;purist_equivalent_edited
administreren;bewind hebben iewers, bedienen iets, uytvoeren
admiraal;Opper-Zee-Overste, Zee-voogd, Vloot-heer
admiraalschap;Vloot-heerschap, Zee-voogdijschap
admirabel;wonderbaar, verwonderlijk
admiraliteyt;Zee-voogdye, Zee-bestuur, Zee-raads-vergadering
admiraliteyts Heeren;Zee-raad, Zee-raads-Heeren, Zee-raads bestuurs Heeren, Heeren bestuurders der Scheeps-vaart, Regeerders der Zee-vaart
Admiraliteyts-huys;Zee-raad-hof
admiratie;verwondering, bewondering
admireren;verwonderen, bewonderen
admisceren;vermengen, bymengen, t’samen mengen
admissie;toelaating
admissie;toelaating
admissie;toelaating, verlof, anneeming
admitteren;toelaaten, toestaan, verlof geeven, inwilligen
admixtie;bymenging, vermenging
admolieren;poogen, tragten, moeyte doen
admoneren;vermaanen, anmaanen, waarschouwen
admoniteur;vermaaner, anmaaner, waarschouwer
admonitie;vermaaning, anmaaning, waarschouwing
admorderen;toebijten, anbijten, opbijten, inbijten
admorsie;toebijting, anbijting, opbijting, inbijting
admortissement;
admotie;toebeweeging, anvoering, byvoeging
admoveren;byvoegen, bydoen, toebeweegen, anvoeren, anbrengen, anstuwen,toewenden, ankeeren
adnavigabel;anvaarbaar, anvaarlijk
adnavigatie;anvaaring, anscheeping
adnavigeren;anvaaren, anscheepen
adnecteren;sie annecteren
adnectie;soek annectie
adoleren;doen wassen, anwassen
adoptatie;sie adoptie
adopteerde;of geadopteerde, tot kind angenomene, als kind angenomene, voor kind angenomene
adopteerder;kind anneemer
adopteren;anneemen tot kind, imant als kind anneemen, anneemen voor sijn kind
adoptie;verkiesing, opneeming, anneeming tot kind, kind anneeming
adoratie;anbidding, eer-bewijsing
adoreren;anbidden, eer bewijsen
adornatie;oppronking, opsmukking, vertsiering
adorneren;oppronkken, opsmukken, vertsieren, oprusten, bereyden
adquireren;soek acquireren
adres;te wege-helping, te regt-helping, hulpe, bystant
adres-brieven te hove;of brieven van adres te hove, brieven van voor-schrijvingte hove, gunst versoek-brieven aan ’t hof, brieven van te wege-helping an’t hof
adres-brieven;brieven van voorschrijving, brieven van te regt-helping
adresseren;schikken, vervoegen, bestellen, beschikken, toestuuren, toestieren,toevoegen, anwijsen
adrogatie;anneeming tot kind, kind anneeming, soon dogter anneeming
adrogeerde;tot kind angenomene, als soon, dogter angenomene
adrogeerder;kind anneemer
adrogeren;anneemen tot kind
adscriberen;toeschrijven, toe-eygenen, byschrijven
adscriptie;toeschrijving, toe-eygening, byschrijving
adsimulatie;veynsing
adsimuleren;veynsen
adsoneren;toeluyden, klinken, toegalmen
adstipulatie;toestemming, toesegging, verwilliging
adstipuleren;toestemmen, toeseggen, verwilligen
adstrictie;verstopping, t’saamen-trekking
adstringent;t’saamen-trekkend
adstringeren;t’saamen-trekken, sluyten, stoppen
adstringerent medicament;t’samen trekkend genees-middel, toestoppendgenees-middel
adstructie;bytimmering
adstrueren;bytimmeren, by ander timmeren
adulateur;pluymstrijker, vleyer
adulatie;pluymstrijking, vleying
aduleren;vleyen, pluymstrijken
adultereren;overspel doen, egt-breeken, overspel bedrijven, egt-breeking doen,egte-staat breeken hegte-staat breeken
adulterie;overspel, egt-breeking, egte-staat-breeking hegte-staat-breeking
adumbratie;ontwerp, bewerp, afschetsing
adumbreren;afschaduwen, afbeelden, bewerpen, ontwerpen
aduneren;of adunieren, vereenigen, in vergaderen
adunie;of adunitie, vereeniging, by vergaadering
advancement;soek avancement
advanceren;sie avanceren
advans;soek avance
advenant;over-een-komst, gevoeglijk
advenieren;toekomen, ankomen, bykomen
advent;toekomst, ankomst, bykomst
adventie;toekoming, ankoming, bykoming
advers;tegen-dinger, weder-dinger
adversarie;tegen-streever, weder-streever, tegen-strijder, weder-stander,tegen-stander
adversatie;weder-streeving, tegen-streeving, weder-staaning, weder-stant,tegen-stant
adverseren;tegen-streeven, weder-streeven, tegen-staan
adversie;toekeer
adversiteyt;tegen-spoet
advertentie;waerschouwing, verwittiging, boodschapping
adverteren;waarschouwen, verwittigen, boodschappen
advertissement;anwijsing-schrift van regten
advertissement;waarschouwing, bekentmaaking
advigilatie;bevlijtiging, op-passing, benaerstiging
advigileren;bevlijtigen, benaerstigen, naerstelijk waaken, naerstig zijn om iette doen
advijs;meyning, goed-dunking, beraading, anraading, berigt, bescheyd,waarschouwing
adviseren;sijn meyning seggen, goed-dunking seggen, beraaden, raaden,besinnen, oordeelen
advocaat civijl;soek fiscaal civijl
advocaat fiscaal;soek fiscaal
advocaat;voorspraak, regts-voorspraak, regts-vorderaar
advoceren;voorspreeken, spreeken voor imant, imants woord doen voor ’tgeregte
advolutie;toerolling, toewenteling
advolveren;toerollen, anrollen, toewentelen, anwentelen
advoueren;sie advoyeren
advoy;toestemming, bevestiging
advoyement;gestant-doening, van waardehouding, toestemming, bevestiging,vast-houding
advoyeren;bevestigen, toestemmen, gestant doen, van waarden houden
aelemoes;arme-gift
aelemoesenier;arm mensch, behoeftig mensch, nood-druftig mensch
aelemoeseniers armen;buyte armen, vreemde armen, sijn arme menschen
aelemoeseniers regenten;de bestierders der buyten armen
aelemoeseniers-huys; buyte armen-huys, buyten armen Wees-huys
aeysement;gemakkelijkheyd, ligtdoenlijkheyd
afcirculen;met omtrekken afteekenen, afkringen, bekringen, kringen, met kringen afteekenen, afronden
afconterfeyten;afbeelden, afmaalen
affabiliteyt;gespraaksaamheyd
affable;gespraaksaam, spraakvaardig
affaire;handel, koopmanschap, bekommering, noodsaakelijke affairen,noodsaakelijke dingen, dringende saaken
affameren;verhongeren, uythongeren
affectaat;begeerig, graag, greetig, nastaande, naukeurig
affectatie;begeerte, graagte, nastaaning, greetigheyd, be-yvering
affecteren;be-yveren, behartigen, soeken, vereyschen, dikwils doen,benaerstigen, opvlammen
affectie;genegentheyd, toeneiging
affectioneren;genegen zijn, toeneigen, beminnen
afficieren;andoen, beweegen, anroeren, aldus alsoo maaken
affigeren;anhegten
affineren;suyveren
affiniteyt;swagerschap, maagschap, verwantschap door houwlijk
affirmatie;bevestiging, verseekering, betuyging
affirmatif;bevestigend, betuygend
affirmeren;bevestigen, versekeren, betuygen
affix;angehegt
affixie;anhegting
afflictie;kwelling, pijniging
affligeren;kwellen, pijnigen, neerslaan, ter aarden werpen
afflueren;toevloeyen, anvloeyen, overvloeyen
affluxie;toevloeying, anvloeying
affriceren;anwrijven, ankrauwen
affront;hoon, smaat, verkorting, eerrooving, eer-kwetsing, ongelijk
affronteren;hoonen, smaaden, verongelijken, verkorten, eer kwetsen
affunderen;begieten, bestorten, bespatten
affusie;begieting, bestorting, bespatting
affuyte;rolpaard
agent;saak-voerder, bewint-hebber, gemagtigde, handel-drijver
ageren;ding-taal-voeren, in regte handelen
aget;sie acket
agetteren;sie acketteren
aggravatie;beswaaring, overlaading
aggraveren;beswaaren, overladen
aggreatie;toestemming, goedkenning, bewilliging
aggredieren;anvallen, angaan, toetreeden
aggredieren;toegaan, tot iemand gaan, anvatten, bespringen, anvallen,overvallen, iets bestaan, beginnen
Aggreeren;behaagen, believen
aggreeren;toestemmen, goed kennen, bewilligen, voor goed opneemen
aggregatie;versaameling, vergaadering
aggregeren;toegaaderen, versaamelen, vergaaderen
aggresseur;anvaller, overvaller, bespringer
aggressie;anval, overvalling
agil;snel, geswint, byhandig
agitatie;dryving, beroering, anstooking
agiteren;drijven, beroeren, anstooken, dikwils doen, schudden
agnitie;kennis, erkenning
agnosceren;erkennen
agnus dei;Lam Gods, Gods Soon en mensch
agonisatie;strijding
agoniseren;worstelen, strijden
Agoniseren;ziel-toogen
agreabel;angenaam, behaagelijk
agriculteren;land-bouwen, land-winnen
agriculture;land-bouw, land-bouwing, land-winning, land-bouwery,land-neering
agrimonie;menge, lever-kruyd, geel-bloemd lever-kruyd
aguet;sie acket
aisement;sie aeysement
aket;sie acket
aketteren;soek acketteren
alchymie;of alcumie, stof-scheyd kunde, smelt-konst, aardkookery
alchymist;of alcumist, stof-scheyder, stof-brander
alchymistery;
alembie;af-sijp-helm, helm, koo-per werk-tuyg
alferes;vaandraag
algebra;stel-regel, stel-kunst
alienabel;vervreemdbaar
alienatie;vervreemding
alieneren;vervreemden
aliment;voedsel, onderhoud, kost
alimentatie;opvoeding, voeding, onderhouding
alimenteren;opvoeden, voeden, onderhouden, de kost geeven
alkemie;
alkemist;
alkemistery;
allatratie;anbassing
allatreren;anbassen
alleë;alleye, gang, wandel plaats
allegatie;bybrenging, anwijsing, antrekking, voortbrenging
allegeren;bybrengen, voortbrengen, voort--haalen, anwijsen, antoogen, antrekken
allegorie;anders spreeking, anders segging
Alleluja;sie Hallelujah
alleluja;suure-klaver, koekkoeks-brood
allevatie;opheffing, opligting, opbeuring, bybeuring
alleveren;opheffen, opligten, heffen, opbeuren, bybeuren
alliantie;verbond, bondgenootschap
alliceren;anlokken
allideren;anstooten, tegenstooten, stuyten
allieren;verbond maaken, verbinden
alligatie;anbinding
alligeren;anbinden, anverbinden
allisie;anstooting, tegenstooting, anhorting, stuyting
allocutie;anspraak
allodiale goederen;onleen-goederen, vrye goederen
alloqueren;anspreeken, toespreeken
alloy;muntstof
alluderen;op speelen, ’t ooge op hebben
alluëren;anvloeyen, anspoelen
allumeren;ontsteeken
allusie;sin-speeling, schuyl-sin, schuyl-rede
alluvie;anvloeying, anspoeling
almaanachmaaker;jaartijdswijsermaaker, maandwijsermaaker, almaanagtsmaker
almanach;maand-wijser, tijd-wijser
alose;elf elft
altaar;slagt-plaats
alteratie;verandering, ontsteltheyd, ontsteltenis, ontsetting
altercatie;kijving, twisting, twist, bedinging, omrede
alterceren;kijven, twisten, bedingen, twistig zijn, tegen malkander kijven
altereren;veranderen, sik ontsetten, ontstellen
altern;overbeurtig, overhands
alternatie;wisseling, beurt-houding
alternatijf;by beurten, beurts-wijs, over ’s hands
alterneren;beurt houden, over hands doen
amabel;minbaar, minwaardig, liefwaardig
amaileerder;
amaileersel;
amailleren;
amaritude;bitterheyd
amasseren;ophoopen, vergaderen, versamelen, tassen
amateur;lief-hebber, minnaar
ambagen;omwegen
ambassaat;
ambassaatschap;
ambassade;gesantschap
ambassadeur;gesant, afgesant, hof-gesant
ambelen;snelliglijk gaan
amber;barnsteen, haaksteen
ambidexter;byhandig, evenhandig, slinks en regts
ambieren;na hengelen, om hengelen, na staan
ambigeren;twijffelen, in twijffel zijn, in twist zijn
ambiguiteyt;dubbelsinnigheyd, twijffelsinnigheyd, dubbelduydigheyd
ambitie;eersugtigheyd, eergierigheyd
ambitieus;eersugtig, eergierig
ambulatie;wandeling
ambuleren;wandelen
ameen;vermaakelijk, lustig
amen;het sy soo, het geschiede also, voorwaar
amende;boete
ameniteyt;vermaakelijkheyd
amiabel;lieflijk, vriendelijk, minsaam
amicabel;vriendelijk, minnelijk
amicable compositeurs;goede mannen, vriendelijke scheyds-luyden,soen-maakers
amice;vriend
amicitie;vriendschap
amict;kleed, hoofdeksel
amissie;verlies
amitteren;verliesen
ammer;
ammunitie van oorlog;oorlogs toerusting
ammunitie;toerusting, oorlogs gereedschap, krijgs-tuyg
amnestie;algemeene vergeeting
amoderatie;bemiddeling
amodereren;bemiddelen, middelen
Amolieren;uitroeyen, verdelgen
amolieren;weg-doen, weg-drijven, verdrijven, afwenden
amolitie;weg-doening, verdrijving
amoreus;minnend, verliefd
amoreuse;vrijster, verliefde vrijster
amortisatie;doode handstelling, onwandelbaarmaaking,onvervreemdbaarmaaking, onverhandelbaarmaaking
