loan_word;purist_equivalent_edited
confesseur; biegt-vader
confessie;bekentenis, belijdenis, biegt
confessoire actie;bekennende antaal, bevestigende antaal
conficeren;volmaaken, afvaerdigen
conficieren;voleynden, ten eynde brengen, volbrengen, volmaaken, voldoen,maaken, doen
confidentie;vrymoedigheyd, vertrouwtheyd, betrouwing
confideren;betrouwen, vastelijk gelooven, hoopen
confieren;
configeren; anhegten, t'saamen-hegten, anvastmaaken, door-steeken,door-rijgen.
configuratie; gelijk-staltiging, t'saamen-staltiging, gelijk-gedaantiging,gelijk-gedaantmaaking, gelijk-gestaltmaaking,configureren, gelijk-gedaantigen, gelijk-gestaltigen, van gelijke gestaltenismaaken, van gelijke gedaante maaken.
confijten;insulten, sulten, door suykeren
confilie de greyn;
confineren;bepaalen
confirmatie;bevestiging
confirmeren;bevestigen, gestaden
confiscatie;verbeurt-maaking, anslaaning, verbeurt-maaking van goederen,de welke geschied om eenige misdaad
confisqueren;verbeurt maaken, anslaan iemands goederen
confiteren;belijden, bekennen, biegten
confiture;suyker-werk, suyker-gebak, gesuykert ooft, suyker-ooft, insulting:vrugten die door suykert zijn, om lang te konnen goed blijven
confleren;t'saamen blaasen.
conflict;t'saamen strijd, gevegt.
confligeren;t'saamen strijden, t'saamen vegten.
confluentie;t'saamen-vloeying.
conflueren;t'saamen vloeyen, t'saamen komen
confonderen;verwarren, beschaamen
confoor;tafel vuur-pan
conform;gelijkvormig, over komende
conformatie;gestalt-geeving, gelijkvorming, na-schikking, vergelijking
conformeren; vergelijken, gestaltenis geeven, gelijk vormen, gelijk stellen, naschikken, t'saamen maaken.
conformiteyt;in gevolg, gelijk gestelt
confort;versterking, troost, verfrissching
conforteren;versterken, bevestigen
confrater;mede-broeder, gebroeder, spits-broeder
confringeren;verbreeken, breeken
confrontatie;over brenging, tegen elkaarstelling
confronteren; t'saamen vergelijken
confugeren;toevlugten, iewers na toevlugten, tot iemand vlugten, toevlugtneemen
confugie;toevlugt
confunderen; vermengen, t'saamen mengen, onder mengen.
confunderen;verwarren, beschaamen
confusie; vermenging, t'saamen-menging.
confutatie;wederlegging, tegen-segging, verwerping, veragting
confuteren;wederleggen, tegen seggen, verwerpen, veragten, beschelden
confuys;verwart, ontstelt, beschaamt
conge;verlof, oorlof
congelatie;bevriesing, stremming, stolling
congeleren;bevriesen, stremmen, stollen
congereren;t'saamen draagen, t'saamen brengen, t'saamen hoopen.
congerie;stapel, troppel
congessie;t'saamen-hooping, t'saamen-brenging, t'saamen-draaging.
congratulatie;begroeting, geluk-wensching
congratuleren;begroeten, geluk wenschen
congregatie;versaameling, vergaadering, versaaming
congregeren;versaamelen, versaamen, vergaaderen
congruent;gevoeglijk, over komend
congruentie;gevoeglijkheyd, over koming
congrueren;gevoegen, over komen
conjecture;raadsel, gissing, raaming
conjectureren;raaden, gissen, raamen
conjugatie;vervoeging, t’saamenvoeging, t’samenbinding, anbinding
conjugeren;
conjunctie;t'saamen-voeging.
conjuncture;gesteltheyd, loop des tijds
conjuncture;t'saamen-voeging.
conjungeren;t'saamen voegen, vereenigen, t'saamen binden.
conjuratie;t'saamen-sweering, besweering, eed gespan
conjureren;t'saamen sweeren, t'saamen-sweering maaken, besweeren.
connecteren;t'saamen knoopen, t'saamen hegten, t'saamen binden.
connexie;t'saamen-knooping, t'saamen-binding, t'saamen-hegting,verknooping, an binding.
conniventie;oogluyking, gedooging, door de vinger siening
conniveren;gedoogen, door de vinger sien, oogluyken
connoteren;mede-betekenen
conquadreren;vierkanten
conquereren;beklaagen, klaagen
conquest;verovering, overwinst
conquesteren;veroveren, verkrijgen, winnen
conrector;medebestierder
conrector;mede-school-voogd, onder-school-voogd, tweede school-meester
conroot;meenigte, vergadering
consacratie;toeheyliging, toeweying, heyliging, weying, heyligmaaking
consacreren;toeheyligen, toeweyen, heyligen, weyen, heylig maaken
consalutatie; t'saamen-groeting, mede-groeting, begroeting.
consaluteren;t' saamen groeten, malkander groeten, groeten de de ander,begroeten, mede groeten
consanguiniteyt;bloedvriendschap, maagschap, bloedverwantschap
conscenderen;opgaan, opklimmen, klimmen
conscientie maaken van eenige saaken;swaarigheyd maaken van eenige saaken
conscientie; geweeten, gewisse, mede-weeting
conscientieus;opregt, vroom, naauw geset, gods-dienstig
conscinderen;doorsnijden, in stukken snijden, doorhouwen, doorhakken,verscheuren
conscriberen;beschrijven, schrijven, opschrijven
conscriptie; opschrijving, beschrijving, t'saamen-schrijving, geschrift.
consecrateur;anhanger, navolger
consecratie;
consecreren;
consecutie;navolging, agtervolging, vervolg
consent;bewilliging, verwilliging, toestaaning, toestemming, verwillekeuring,oorlof, verlof
consenteren;bewilligen, toestaan, inwilligen, toestemmen, verwilligen, verlofgeeven, verwillekeuren
consequent;volgende, diesvolgens
consequentie;gevolg, vervolg
consequeren;agtervolgen, vervolgen, volgen, nagaan, geraaken, agterhaalen
Consequeren;verkrijgen, erlangen, besitten, genieten
conservatie;behouding, behoeding, bewaaring, behoudenis, beschutting,onderhouding
conserve van roosen;ingesuykerde roosen, insuykering van roosen, ingesulteroosen, insulting van roosen
conserve;insulting, insolting, insouting, insouting niet in sout, maar insuyker, honig
conserveren;bewaaren, behoeden, beschutten, behouden, onderhouden
Conserveren;goed houden
considerabel;anmerkelijk, nadenkelijk
consideratie;insigt, aanmerking, nadenking
considereren;aanmerken, bedenken, besinnen, insien
consignatie;versegeling, merking, teekening
consignatie;onder regt-legging
consigneren;onder regt leggen, versekeren, versegelen, tekenen, merken
consiliatie;raad-pleeging
consilie;geestelijke raadsvergaderingh, raadsvergadering der geestelijken,naamentlijk van Roomsche geestelijken
consilie;raad, raad-slag, opset, beraading
consilieren;raaden, beraaden, raad slaan, raad pleegen
consistentie; bestendigheyd, t'saamen-bestaanlijkheyd, gestandigheyd.
Consistentie;dikte
consisteren;bestaan, blijven staan, blijven rusten
consistorie;kerken-raad, kerken raad-kamer, raad-kamer der geestelijken
consolatie;vertroosting, troost
consoleren;vertroosten, troosten
consolidatie;vast-heeling, heeling, wond-heeling
consolideren;digt maaken, t'saamen hegten, an hegten, weder an eenmaaken, by voegen t geen dat van was. 
consommatie;
consommeren;
consonant;
consonantie;mede-klank, mede-klinking,t'saamen-klank, t'saamen-klinking, eenstemmigheyd.
consoneren; mede-klinken, mede-luyden, t'saamen-klinken, toestemmen.
consort;mede-stander, mede-genoot, makker
conspectie;anschouwing, beschouwing
conspicieren;anschouwen, sien, ansien, toesien
conspicue;klaarblijkend
conspiratie;t'saamen-sweering, t'saamen-spanning, anspanning,vloekverwantschap. 
conspireren;t'saamen sweeren, t'saamen spannen, anspannen
constant;stantvastig, bestendig
constantie;stantvastigheyd, volherding
constapel; bus-schieter
constellatie; gesternte, t'saamen-sterring.
consteren;bestaan, blijken, stand houden
Constituant;inkomst verschrijver
constituant;magt-geever, volmagt-geever, last-geever, belegger, insteller
constituante;magt-geefster, last-geefster, belegster, instelster
constitueerde;gemagtigde
constitueren;magtig maaken, in plaatse stel-len
constitutie;insetting, instelling
constitutie-brief;inkomst-brief, jaarlijkse inkomst brief
constrainte;dwang, bedwang
constreincte;
constrictie;bedwang, bedwinging, benauwing, besluyting, pranging
constringeren; bedwingen, prangen, praamen, verstrikken, besluyten, benauwen,stoppen, t'saamen stroopen.
constringibel;bedwingelijk
constructie; t'saamen-stelling, by voeging, bouwing, timmering, beleyd.
construeren; t'saamen stellen, by voegen, by malkander, vergaderen, tassen,maaken, bouwen, timmeren, beleggen.
consuetude; gewoonte, wennis, oude herkome
consul;burgermeester, raads-heer
consuleren;raaden, raad-pleegen met iemand
consult;wijs, wel beraade
consultatie;raad-pleeging, raad-vraaging, raad-begeering
consulteren;beraaden, raad-pleegen
consumatie;verdoening, doorbrenging, verteering, verslijting
consumeren;verdoen, doorbrengen, verteeren, verslijten
consummatie;voleynding, voltrekking, vervulling
consummeren;voleynden, voltrekken, vervullen
contabel;anspreekelijk
contagie;besmetting
contagieus;besmettelijk
contaminatie;besmetting, bevlekking, verderving, vuylmaaking, besmeuseling
contamineren;besmetten, bevlekken, vuylmaaken, besmeuselen, verderven
contant geld;gereed geld
contant;gereed, loopend
contemneren;veragten, versmaaden
contemplatie;opmerking, anmerking, anschouwing, bespiegeling,beschouwing, overpeynsing, overdenking, vermaaking, opgetrokkenheyd
contempleren;beschouwen, anschouwen, aansien, overdenken, overpeynsen,bespiegelen, opmerken, anmerken
contemptie;veragting, versmaading
contenantie;gelaat
contendent;twister, kijver, krakeeler, haderer, hader-man
contenderen;twisten, vegten, kijven, krakeelen, invaaren
content zijn;te vreeden zijn, vernoegt zijn
content;te vreeden, genoegt
contentement;vernoeging, genoeging
contenteren;vernoegen, te vreeden stellen
contentie;betwisting, twist, krakkeel, strijd-reeden, warre
contentieus;krakeelig, twistig, twist-geerig, twist-siek, twistagtig
contentieuse saaken;dingtaalige saaken, twist saaken, krakeelige saaken
contenu;inhoud
contereren;vermorselen, stooten, in stukken stampen, vernielen, verslijten,verdoen, besigen en verderven
conterfeyten;afbeelden, namaalen, namaaken, uytschilderen
conterfeytsel;afbeeldsel, nabeeldsel
contestatie; betuyging, t'saamen-getuyging, mede-getuyging.
contesteren;getuygen, betuygen, iemant tot getuyge neemen, mede getuygen,beroepen
conthoralen;bed-genooten, egt-genooten, getrouwde man en vrouw
contigue;geraakelijk, anstootend
continent;onthoudend, maatig, ingetoogen
continentie;onthouding, inhouding, ingetoogenheyd, ingebondenheyd
contineren;bevatten, begrijpen, vatten, inhouden, onthouden, vast en stijfhouden
contingent;gebeurlijk
contingentie;gebeurlijkheyd
contingeren;gebeuren, betreffen, raaken, anroeren, angaan, geschieden
continuaat;geduurig
continuatie;agtervolging, vervolging, vervolg, anhouding, volherding,verknogting
continue;verknogt, geduurig, doorgaans, geduuriglijk, sonder ophouden
continueel;geduurig, doorgaans
continueren;agtervolgen, vervolgen, anhouden, volherden, sijn voorstelvervolgen
contorqueren; wringen, omwringen, t'saamen wringen, in wringen,omdraayen, in draayen, doen krommen, stijf worpen.
contorsie;omwringing, t’saamen-wringing, t’saamen-draaying, in draaying,in wringing
contra balance;tegen-wigt, tegen-gewigt
contra balanceren; tegen wegen, tegen opweegen
contra banderen;tegen anspannen
contra brief;tegen brief
contra cedel;tegen brief, tegen schrift
contra interrogatorien leveren;tegen vraag-stukken leveren, tegenvraagingen doen
contra interrogatorien;tegenvraaging, tegen vraag-stukken
contra mandaat;tegen gebieding, tegen gebod, afsegging
contra manderen;tegen gebieden, afseggen
contra mine;tegengraft, tegengraaving
contra mineren;tegen graaven, tegen angraaven
contra presentatie doen;tegen anbieding doen
contra presentatie;tegen anbieding
contra punct;
contra remonstrant; tegen betooner
contra schedulle;tegenbrief, tegenschrift, tegen handschrift
contra teneur;
contrabande goederen; verbode goederen
contract antenuptiael;houwlijkse voorwaarde
contract nuptiaal;
contract;handeling, onderhandeling, o-ver koming, over koming, verdrag, voorwaarde
contractant;onderhandelaar
contracteren;handelen, onderhandelen, over komen, verdraagen
contradebat;rekenings tegenspreekings wederleg-schrift, rekeningsstaande houding-schrift, is geschrift
contradiceren;tegen spreeken, tegen seggen, wederspreeken
contradictie;tegenspreeking, tegensegging, wederspreeking
contraheren; over komen, t'saamen handelen, tegen ander iet angaan.
Contraheren; verkorten, intrekken, t'saamentrekken, vergaderen, in trekkenen sluyten.
contraineren;dwingen
contrainte;
contrapoinct;tegenspits
contrarie;tegendeelig, strijdig, tegenstrijdig, tegenstrijdend
contrarieren;tegen streeven, weder streeven
contrarieteyt;tegenheyd, strijdigheyd, tegenstrijd, regt-strijdigheyd, ongeluk
contrarol;
contrarolleren;
contrarolleur;
contrascharp;
contratestatie;tegen-betuyging, beroeping
contratesteren;tegen betuygen, beroepen, opgetuygen
contravenieren;overtreeden, tegen doen
contraventeur;tegenstreever, overtreeder
contraventie;overtreeding, tegendoening
contre borg;tegen borg
contre brief;tegen brief
contre point singen;tegen-gesang singen, tegen-geluyt singen
contre point; tegen geluyt, tegen gesang
contre pois;tegen wigt
contre teneur;tegen middel-stem, tegen laag-stem
contrebalance;
contrebalanceren;
contrebande goederen;
contrecarreren;tegen streeven
contrecedel;
contrefort;steun-stijl, tegen sterkte
contrefossae;middel-graft, tegen graft
contreman;tegenstander, wederstander, tegenstreever
contremine;
contremineren;
contrequarreren;tegen-staan, tegen-gaan
contrerol;tegen-boek
contrerolleren;tegen-boek houden, tegen-spreeken, wederschrijven
contrerolleur;tegen-boek-houder, tegen-rol-houder, tegen-spreeker
contrescharp; bol-werk, tegen-schoeysel, halve-maan, binneschans
contresegel;tegen-merk, minder merk tegen gestelt tegen grooterof meerder merk
contreventeur;
contreventie;
contrey;land-streek, gewest
contribuabel;opbrengelijk, toebrengelijk, mede deelijk
contribueren;mede deelen, mede geeven, toebrengen
Contributie;mede-deeling, mede-geeving, toebrenging
contributie;opbrenging, schatting, schatting geeving, verponding, lasten
contristatie;bedroeving, bekommering
contristeren;bedroeven, bekommeren
controvers;verschillend
controversie;geschil, verschil, twist, geding, reden-strijd
controverteren;twisten, in geschil trekken
contumaceren;wederspannig zijn, halsterrig zijn, vellig zijn, het geregt veragten
contumacie;geregts veragting, wederspannigheyd, halsterrigheyd, velligheyd,hertnekkigheyd, wrevel, wrevelmoedigheyd
contumax;wederspannig, halsterrig, vellig
Contumelie;hoogmoed
contumelie;spijt, smaat, versmaadheyd, schamperheyd, schimp, laster, lastering
contumelieus;smaadig, schamperagtig, spijtig
contunderen;kneusen, stampen, in stukken stooten, breken wrijven
conturbatie;ontroering, verstooring, verwarring, verbaasing
conturberen;beroeren, ontroeren, verstooren, verbaasen, verwerren
contusie;kneusing, stamping, in stukken stooting, breeking wrijving
convalescentie;gesontwording, gesontheyd
convalesceren;gesont worden, kragt houden, bestaan
convalideren;stand houden
convelleren; t'saamen rukken, aftrekken, afnijpen, afslaan, vernielen, te nietdoen.
convenant;verdrag, verbond
convenibel;anspraakelijk, dagvaardelijk, in regte anspraakelijk, voor regtbetrekkelijk
convenient;gevoegelijk, over komende
convenientie;overkoming, over-een-komste, verding, voorwaarde
convenieren;voor regt dagen, voor regt betrekken, dagvaarden
convent;by-een-komst, t'saamen komst, vergadering.
conventicule; vergaringsken, vergaderingsken, sluyp-vergadering,smuyk-vergadering
conventie; anspraak, voor regt-betrekking, den eysch, die anlegger doettegens den gedaagde
conventioneel hypoteecq;
conventioneel;besprooken, bedongen
convers;omgekeert
conversatie;ommegang, hantering, verkeering, gemeynsaamheyd
converseren;ommegaan, verkeeren, met imant
conversie;bekeering, omkeer, omstel, naverhaal
converteren;omkeeren, verkeeren
convex;bol, bolsgewijs rond geboogen
convicie;schelding, toenaam, verwijt, schamperheyd
convieren;noodigen
convinceren;overwinnen, overtuygen
conviva;gast, genoot
conviveren;t'saamen eeten, gast-maalen.
convixie; overwinning
convocatie; t'saamen-roeping.
convoceren; t'saamen roepen.
convolutie; omwenteling, t'saamen-winding, bewinding, inwikkeling.
convolveren; omwentelen, t'saamen winden, bewinden, inwikkelen.
convoqueren; t'saamen roepen.
convoy; geleyde, vrygeleyde, t zy te water, te land.
convoyer;geleyder, die imant geleyd, en beschermt
convoyeren;geleyden
convoy-geld; geley-geld, vry-geley-geld, het welk men betaald, om vry geleyde,en bescherming, op de weg te hebben, t zy te water te lande.
convoy-schip; geley-schip, t welk tot weerbieding uytgerust, eenigekoopvaardy scheepen, die onweerbaar zijn, geleyd en voor overval van vyandenof roovers beschermt.
convulsie;kramp
cooperatie; mede-werking, t'saamen-werking.
coopereren; mede werken, t'saamen werken.
coor;
coordinaat; t'saamen geschikt, gelijk geschikt.
coordinatie; t'saamen-schikking, gelijk schikking.
coordireren; t'saamen schikken, gelijk schikken.
copie authentijcq; oorspronkelijk afschrift, uytschrift
copie ende dag eyschen;afschrift-geeving en dag eyschen, eyschen afschriftvan de schriften des gedings en uytstel
copie van de procuratie op den procureur;afschrift van de last volmagtdes gedingbesorgers
copie van t mandement,;afschrift van de dag-brief
copie van t relaes,;afschrift van de gedaane dagvaarding
copie; naschrift, uytschrift, afschrift
copieerder;uytschrijver
copieersel;uytschrijfsel, afschrijfsel
copieren;uytschrijven, afschrijven, naschrijven
copieus;overvloedig, rijkelijk, breed, ruym
copist;
copulatie;t'saamen-voeging, t'saamen-binding, vergadering, koppeling.
copuleren;t'saamen voegen, t'saamen binden, vergaderen, by vergaderen,koppelen.
corageren;
coragie;
coragieus;
cordaat;moedig, hertig, regtschaapen
cordegarde;
cordiaal medicament; hertsterkend genees-middel
cordiaal;hertig, hertsterkend
cordiaalijk;hertelijk, openhertelijk, gulhertelijk
cordialiteyt;openhertigheyd, gulhertigheid
corinthen; kleyne gedroogde wijn-bessen
cornel;
cornet paarden;vaandel rijders
cornet; vaandraag, vaandrig te paard, rijder vaandrig
corniculair;hoornagtig
corporaal;wagt-meester, rot-meester
corps de garde;wagt-huys, krijgs-wagt
corpulent;lijvig, dik, grof
corpulentie;lijvigheyd, swaarlijvigheyd
corpus juris canonici;geestelijk wet-boek
corpus juris;wet-boek, boek des regts, boek der regten
Corpus;lighaam, lighadem, leghadem
corpus;lijf, leef
corraderen;t’saamen schrabben
corrasie;t’saamen schrabbing
correcter;verbeterer, opregter
correctie;verbetering, regtmaaking, opregting
correptie;berisping
correspondent;over komer, onderhandelaar, t’saamen handelaar, heymelijkover komer, heymelijk verstand houder
correspondentie in liefde;onderlinge liefde, weder-zijdse liefde
correspondentie van maaten;over koming van maaten
correspondentie;over koming, gelijking, anpassing, heymelijke over eenkoming, t’saamen verstand, onderhandeling
corresponderen;over komen, gelijken, anpassen, onderhandelen, t’saamenhandelen, t’saamen verstaan, op malkander passen, heymelijk verstand houden,heymelijk over komen
corridor;bedekte weg
corrigeren;verbeteren, regten, regt maaken
corripieren;rukken, toerukken, happen
corrival;mede-minnaar, mede-vryer, mede-boel
corroboratie;versterking, sterk-maaking
corroboreren;versterken, sterk maaken
corroderen;beknaagen, beknabbelen, afknaagen, knaagen
corrogeren;alsins bidden en begeeren, bidden van igelijk, van alle zijdenop bidden, begeeren, van alle kanten vergaderen
corromperen;
corrosie;beknaaging, beknabbeling, afknaaging, knaaging
corrosijf;in-eetend, bijtend, scherp
corrosijf;of corrosijf medicament, bijtend genees-middel, in-eetendgenees-middel
corrueren;neerstorten, instorten, omvallen, vervallen, neervallen, vallen,invallen, t’saamen vallen
corrumperen;omkoopen, omkoopen iemant met geld, iemant door giften engaaven verleyden, en verblinden
corruptele;kwaade invoering, omkoo-ping
corruptibel;bederffelijk
corruptie;verderving, bederving, schending
corselet;borst-harnas, borst-waapen, schild
corsier;
cortelas;houwer, kort swaard, kromme houwer
cortine;bed-behangsel, bed-beschermsel
cosmographie;waereld-beschrijving, waereld-kunde
coster;
costume;gewoonte, oud herkomen
cote;
cotisatie;
cotiseren;
cotteren;randen, beranden, kant-schrijven
coucheren;leggen, liggen, nederstellen, stellen
couleren;vlieten
couleur;verw
couleuren;verwen
cour;Hof
courage;moed, moedigheyd
courageren;moed geeven, moedigen
couragieus;moedig
courant;gereed, loopend
courrier;looper, renner
cours;loop, gang-streek, trant
coursier;
courtier;maak klaar
courtisan;hoveling, hof jonker
courtisane;hof jongvrouw, hof jonfer
courtiseren;met jonfrouws, joffrouws om gaan, joffers onderhouden metbeleefde praat, vrolijk praaten, de vryer speelen, lief-koosen
courtois;hoofsch, beleefd, heusch
courtosie;hoofheyd, beleefdheyd
cousin;cousijn, neef
couvent;overdekt, gedekt
couverture;deksel, verdek, omslag
covenant;verdrag, verbond
covent;
creancier;schuld-eyscher
creantie;geloofbaarheyd
createur;maaker, gedaant-geever, gestalte-geever
creatie;maaking, gedaant-geeving, gestalt-geeving
creature;maaksel
credencier;proever, voor-proever
credentie brief;geloof-brief, brief van geloofbaarheyd
credentie;geloofbaarheyd
credentzer;
credit;in-schuld
crediteren;borgen, vertrouwen, toe vertrouwen an iemand eenig geld goed
Crediteren;gelooven, vertrouwen
crediteur;inschulder, schuld-eyscher
creditrice;schuld-eyscherse, uytborgster, vertrouwster, geloofster
creduliteyt;ligt-geloovigheyd
creëren;maaken, gedaant-geeven, gestalt-geeven
crepuscul;schemering, tweligt
crespe;fijn lijnwaat, fijn doek, doorschijnend doek
crime lesae majesteyt;misdaad van gekweste Hoogheyd, hoogste magtschending
crime;misdaad, schelmstuk, laster, lasterstuk, sonde, schuld
criminatie;beschuldiging, anklaaging, betigting, lastering, verwijting
crimineel proces;hals geding
crimineel;strafbaar, misdaadig, strafwaardig, halssaakig, lijfsaakig
crimineele justitiae;strafs-geregt
crimineele saak;straf-saak, strafbaare saak, misdaads saak, strafwaardigesaak, waar op strafs-geregt volgt
crimineliter;strafbaarlijk, misdaadiglijk, halssaakelijk, lijf-saakelijk
crimineren;beschuldigen, anklaagen, betigten, lasteren, verwijten
cronijk;
cronijken;
cronijk-schrijver;
croppier;staert-riem, paerds staert-riem
crotse;opsienders staf
croys;opwassing, toeneeming, vermeerdering
croyseren;met kruys teykenen, met teken iets afteykenen
crucifigeren;an ’t kruys hegten an ’t dwarshout hegten
crucifixie;kruys-hegting, dwarshout-hegting
crudeel;wreed
crudeliteyt;wreedheyd
cruel;wreed
cruent;bebloed, bloedig
crustatie;bekorsting
cubeben;bastaart peper
cubicq;taerling
cubiculair;kamerling
cubitus;elleboog
cuirasse;pantsier, borst-harnas
culpabel;schuldig, strafbaar, bestraffelijk
culpe;schuld, versuymschuld, misdaad
culperen;beschuldigen, betigten, berispen, lasteren
cultiveren;bouwen, landbouwen
cumulatie;tsaamenvoeging, tsaamenvoeging van twe geregts-bankken
cumuleren;versamelen, ophoopen, tsaamen hoopen, op hoop vergaderen,vermeerderen
cunctatie;vertoeving, draaling, verspaading, marring
cuncteren;vertoeven, draalen, marren, verspaaden, langsaam zijn
cupiditeyt;begeerlijkheyd
curabel;geneesbaar, geneeslijk
curassier;gewapent rijder, swaar gewapent rijder
curatele;besorging, toesigt, redding
curateur;besorger, toesiender, voorstander, overstander, redder
curateurs;besorgers, toesienders, redders, gekose voogden
curatie;besorging
cure;sorg
cureren;besorgen, versorgen
cureye;het geweyd ingewand der beesten
curieus;nauwkeurig, nieusgierig, sinnelijk
curieusheyd;nauwkeurigheyd, nieusgierigheyd, sinnelijkheyd
curieuslijk;nauwkeuriglijk, nieuwsgieriglijk, zinnelijk
cuscute;wrange, wring-kruyd, duyvels nay-gaaren, viltkruyd, dooder kruyd
custer;
custodie van den cooge;boogkoker, booghoede
custodie;bewaring, wagt, hoede
custos;hoeder, wagter, bewaarder, opsiender, toesiender
cylindre;ronde suyl, rol-steen, sie cilinder
cynosure;de noord-ster, leyd-ster
daerd;pijl, werpspits
damaskeneren;degens swaarden glad en geblauwt maaken
damaskeneren;met bloem-werk maaken, met gebloemte bewerken, metloof-werk maaken, eenige wolle stoffen
damaskeneren;met ingevlamd beeldsel versieren, met in gevuurd schilderyversieren
damast;of damast stof, wol gebloemd vrouwe stof, wol gebloemd stof
damast-bloemen;dames-bloemen, jongvrouws-bloemen, winter violeeren
damasten kleed;wol gebloemd stoffe kleed, wol gebloemdjongvrouws stoffe kleed
dame;heerinne, vrouw
damnabel;doemelijk, verdoemelijk
damnatie;doeming, doem, verdoeming, veroordeeling
damneren;doemen, verdoemen, veroordeelen
damnificatie;schade doening
damoiselle;jongvrouw
danger;gevaar
dangereus;gevaarlijk
dank-offer;vreede-gifte, dank-gifte 
dat de enqueste gehouden sal werden als ordinair;dat die ondervraaging, verhooring van getuygen voor wettig sal worden gehouden
dat de gedaagde obedientie verklaare;dat de gedaagde nakoming verklaare, dat de gedaagde nakoming van de bevelen des regters verklaare
dat de impetrant verklaart sal werden niet ontfankelijk voor als nog;dat deneyscher verklaart sal werden niet ontfankelijk voor als nog, als de welke te vroegop is
dat de instantie verklaart sal werden desert;dat het regts vervolg verklaart salwerden te zijn verloopen, dat de voorregt betrekking verklaart sal werdente zijn vernietigt
dat het proces verklaart sal werden interrupt;dat het geding verklaart sal werdendoor den tijd te zijn verloopen
dat hy op de articulen antwoord per verbum credit vel non;dat hy devraagstukken bevestigende ontkennende beantwoord
date;dagteykening, dagstelling, tijdstelling
dateren;dag teykenen, dag stellen, tijd stel-len
datum eens briefs;dagteykening eens briefs, de tijdstelling eens briefs
De welken imant;die misdaad begaan heeft, van de Land-overheyd worden verleent
deambulatie;wandelinge
deambuleren;wandelen
debat;tegenwerping, wederlegging, tegenspreeking, bestrijding
debattant;tegenspreeker, bestrijder, wederspreeker, wederlegger, beantwoorder
debatteren;tegenspreeken, wederspreeken, beredenen, beantwoorden, bestrijden,bevegten
debauchant;slampamper, slemper, optrekker, opsnapper, spilpenning
debaucheren;optrekken, moy weer speelen, oprokkenen, verleyden, verwilderen,slempen, slampampen
debet;is schuldig
debil;swak, krank, amagtig, onmagtig
debiliteren;verswakken, krenken, kranken
debiliteyt;swakheyd, krankheyd
debit;schuld, uytschuld, dat wy aan ander schuldig zijn en betaalen moeten
debiteur principaal;self-schuldige, oorspronkelijk schuldenaar, die de schuld self gemaakt heeft
debiteur;schuldenaar, schuldplichtige
debitrice principaal;self-schuldenaaresse
debitrice;schuldenaaresse, wijf dat aan ander iet schuldig is
debonnuire;goedertier, goedaartig
decadentie;vervalling
decantatie;beroeming, lof-roeming, lof-geeving
decanteren;beroemen, roemen, lof-roemen, lof-geeven
decederen;afgaan, weg gaan, wijken, afwijken, ander plaats maaken
december;winter-maand, dese maand heeft na het vierde gety des jaars
decent;betaamelijk, gevoeglijk, hebbelijk
decentie;betaamelijkheyd, gevoeglijkheyd, geschiktheyd
deceptie;bedrieging
deceren;betaamen, voegen
decerneert restablissement;
decerneren restablissement;verleenen herstelling van besit, van staat, toewijsen herstelling van besit, van staat, verleenen weder insetting in het besit, toe wijsen weder insetting in het besit
Decerneren;onderscheyden, bescheyden, schikken
decerneren;verleenen, bestemmen, toestemmen, besluyten, goed keuren
decessie;af-gaaning, weg-gaaning, wijcking, af-wijcking, plaats-maaking voorander
dechargeren;ontlasten
decideren;uytspreeken, wijsen, beslegten, vellen, slissen
decifreren;beschrijven, af-schilderen, beteykenen
decipieren;bedriegen, uytstrijken
decisie;uytspraak, gewijsde, beslegting, besluyt, uyting, slissing
decisijf;uytspraakelijk, beslegtelijk, beslisselijk
declaratie;rekening
declaratien debatteren;rekening tegen spreeken, rekeningwederleggen
declaratif;verklaarend
declareren;anwijsen, verklaaren, uytleggen
declinatie;afwijking, ontwijking, ontgaaning, afgaaning
declinatoire exceptie;
declineren;afwijken, ontgaan, afgaan, ontwijken
decoctie;kooking, verkooking, inkooking
decoqueren;kooken, in doen sieden tot op sekere maate, verkooken,inkooken
decor;eerluyster, angenaamheyd, bevalligheyd
decoreren;vertsieren, op pronken, op toyen
decreet;gebod, last, regts-gebod
decresceren;afgroeyen, afgaan
decressent;af-groeyend, af-gaand
decretatie;bevestiging, toestemming, goedkeuring, besluyting
decreteren;bevestigen, besluyten, goedkeuren, toestemmen, verklaaren vanwaarden
decrieren;uytkrijten
dedecoratie;ontsiering, onteering
dedecoreren;ontsieren, onteeren
dedicatie;toe-eygening, toe-wying, op-draaging, overgeeving, op-dragt,anbieding
dediceren;toe-eygenen, op-draagen, toe-wyen, anbieden, overgeeven
dedignatie;verontwaardiging, versmaading, veragting
dedigneren;verontwaardigen, versmaaden, veragten
deduceren;voordraagen, voorbrengen, inbrengen, verhaalen, verklaaren,bewijsen, te kennen geeven
deductie;saaks voordraaging
deductien van regten;voorbrengingen van regten, voordraagingen van regten
defailiance;ontbreking, mangel, missing, in gebreeke blijving
defailiant;bankeroeter, bank-breeker, versuymer
Defailieren;bankeroet speelen
defailieren;missen, ontbreeken, in gebreeke zijn, in gebreeke blijven
defalcatie;aftrekking, afkorting, afslag, afsnijding
